"Analysis conducted in collaboration with Microsoft Healthcare NeXT researchers: William Weeks, Nancy Morden, Grace Huynh, James Weinstein, Jonathan Larson, Bryan Tower and Care Journey analysts: Stacey Cao and Zach Bredl",,,,,
Hospital Servicing Area,HSA Name,HRR ID,HRR Name,Total Census pop,% Pop > 65 With 2+
1001,AL- ALABASTER,1,AL- BIRMINGHAM,113846,0.058183007
1002,AL- ALEXANDER CITY,1,AL- BIRMINGHAM,22751,0.088795461
1003,AL- ANDALUSIA,134,FL- PENSACOLA,25672,0.089656631
1004,AL- ANNISTON,1,AL- BIRMINGHAM,100479,0.074785953
1006,AL- ASHLAND,1,AL- BIRMINGHAM,11491,0.073804598
1007,AL- ATHENS,5,AL- HUNTSVILLE,70712,0.061503154
1008,AL- ATMORE,134,FL- PENSACOLA,19050,0.062957848
1010,AL- BESSEMER,1,AL- BIRMINGHAM,99419,0.06875007
1011,AL- BIRMINGHAM,1,AL- BIRMINGHAM,858789,0.053623061
1012,AL- BOAZ,1,AL- BIRMINGHAM,77103,0.05867537
1013,AL- BREWTON,134,FL- PENSACOLA,21345,0.089760018
1014,AL- BRIDGEPORT,373,TN- CHATTANOOGA,7602,0.087186905
1016,AL- CAMDEN,1,AL- BIRMINGHAM,6100,0.080525837
1017,AL- CARROLLTON,9,AL- TUSCALOOSA,12896,0.074970306
1018,AL- CENTRE,148,GA- ROME,21362,0.096040549
1019,AL- CENTREVILLE,9,AL- TUSCALOOSA,12386,0.081678918
1022,AL- CULLMAN,1,AL- BIRMINGHAM,84822,0.070315229
1023,AL- DADEVILLE,1,AL- BIRMINGHAM,8162,0.090549683
1024,AL- DECATUR,5,AL- HUNTSVILLE,76025,0.068351865
1025,AL- DEMOPOLIS,1,AL- BIRMINGHAM,15216,0.084128759
1026,AL- DOTHAN,2,AL- DOTHAN,192224,0.069444489
1027,AL- ELBA,2,AL- DOTHAN,8958,0.083245467
1028,AL- ENTERPRISE,2,AL- DOTHAN,42561,0.061200579
1029,AL- EUFAULA,2,AL- DOTHAN,15607,0.070845211
1031,AL- EVERGREEN,7,AL- MONTGOMERY,8143,0.093522269
1032,AL- FAIRHOPE,6,AL- MOBILE,37049,0.060317446
1033,AL- FAYETTE,9,AL- TUSCALOOSA,12412,0.088843588
1035,AL- FLORALA,134,FL- PENSACOLA,3420,0.13686469
1036,AL- FLORENCE,1,AL- BIRMINGHAM,98577,0.070088212
1037,AL- FOLEY,6,AL- MOBILE,63712,0.081518705
1038,AL- FORT PAYNE,1,AL- BIRMINGHAM,46710,0.066801527
1039,AL- GADSDEN,1,AL- BIRMINGHAM,100778,0.085780695
1040,AL- GENEVA,2,AL- DOTHAN,15058,0.100684215
1044,AL- GREENVILLE,7,AL- MONTGOMERY,24291,0.077760425
1045,AL- GROVE HILL,6,AL- MOBILE,6261,0.075404545
1046,AL- GUNTERSVILLE,5,AL- HUNTSVILLE,35092,0.083477924
1047,AL- HALEYVILLE,1,AL- BIRMINGHAM,18761,0.085316237
1048,AL- HAMILTON,262,MS- TUPELO,13275,0.088400859
1049,AL- HARTSELLE,1,AL- BIRMINGHAM,33412,0.068053504
1051,AL- HUNTSVILLE,5,AL- HUNTSVILLE,401522,0.055272315
1053,AL- JACKSONVILLE,1,AL- BIRMINGHAM,33536,0.068001488
1054,AL- JASPER,1,AL- BIRMINGHAM,59397,0.099836251
1056,AL- LUVERNE,7,AL- MONTGOMERY,8696,0.08969904
1057,AL- MOBILE,6,AL- MOBILE,540173,0.058710951
1058,AL- MONROEVILLE,6,AL- MOBILE,22689,0.072470352
1059,AL- MONTGOMERY,7,AL- MONTGOMERY,323610,0.053401226
1060,AL- MOULTON,1,AL- BIRMINGHAM,33601,0.068430929
1061,AL- MUSCLE SHOALS,1,AL- BIRMINGHAM,52715,0.078276721
1063,AL- ONEONTA,1,AL- BIRMINGHAM,23076,0.070689703
1064,AL- OPELIKA,1,AL- BIRMINGHAM,151336,0.046785654
1065,AL- OPP,2,AL- DOTHAN,11892,0.096311881
1066,AL- OZARK,2,AL- DOTHAN,22510,0.090202384
1068,AL- PHENIX CITY,146,GA- COLUMBUS,85087,0.052527045
1070,AL- PRATTVILLE,7,AL- MONTGOMERY,47501,0.05845982
1071,AL- RED BAY,1,AL- BIRMINGHAM,5803,0.077685568
1072,AL- ROANOKE,1,AL- BIRMINGHAM,13744,0.082061979
1073,AL- RUSSELLVILLE,1,AL- BIRMINGHAM,28399,0.066339437
1074,AL- SCOTTSBORO,5,AL- HUNTSVILLE,34824,0.088674244
1075,AL- SELMA,1,AL- BIRMINGHAM,57828,0.073698564
1077,AL- SYLACAUGA,1,AL- BIRMINGHAM,33334,0.081937053
1078,AL- TALLADEGA,1,AL- BIRMINGHAM,36821,0.071772325
1079,AL- TALLASSEE,7,AL- MONTGOMERY,12713,0.069674408
1080,AL- THOMASVILLE,6,AL- MOBILE,15387,0.069277868
1081,AL- TROY,7,AL- MONTGOMERY,35282,0.062368658
1082,AL- TUSCALOOSA,9,AL- TUSCALOOSA,226324,0.053900452
1083,AL- UNION SPRINGS,7,AL- MONTGOMERY,9329,0.059753529
1084,AL- VALLEY,1,AL- BIRMINGHAM,33918,0.0741222
1085,AL- VERNON,9,AL- TUSCALOOSA,8889,0.088259297
1086,AL- WEDOWEE,1,AL- BIRMINGHAM,8294,0.090719006
1088,AL- WINFIELD,1,AL- BIRMINGHAM,15343,0.09163072
2001,AK- ANCHORAGE,10,AK- ANCHORAGE,317622,0.023548597
2002,AK- CORDOVA,10,AK- ANCHORAGE,3218,0.027319108
2003,AK- FAIRBANKS,10,AK- ANCHORAGE,114177,0.019952802
2004,AK- HOMER,10,AK- ANCHORAGE,13383,0.026849141
2005,AK- JUNEAU,10,AK- ANCHORAGE,38268,0.025640899
2006,AK- KETCHIKAN,10,AK- ANCHORAGE,19523,0.035650335
2007,AK- KODIAK,10,AK- ANCHORAGE,13773,0.021483852
2008,AK- NOME,10,AK- ANCHORAGE,7407,0.01978337
2009,AK- PALMER,10,AK- ANCHORAGE,101100,0.026712535
2010,AK- PETERSBURG,10,AK- ANCHORAGE,3970,0.030116384
